index_cr,categorie
0,vasculaire
1,vasculaire
2,traumatique
3,normal
4,normal
5,traumatique
6,normal
7,post-operatoire
8,traumatique
9,vasculaire
10,normal
11,normal
12,autre
13,post-operatoire
14,normal
15,normal
16,post-operatoire
17,normal
18,autre
19,autre
20,traumatique
21,normal
22,normal
23,normal
24,tumoral
25,vasculaire
26,vasculaire
27,tumoral
28,normal
29,normal
30,vasculaire
31,post-operatoire
32,normal
33,traumatique
34,vasculaire
35,vasculaire
36,traumatique
37,normal
38,tumoral
39,vasculaire
40,vasculaire
41,vasculaire
42,tumoral
43,traumatique
44,normal
45,normal
46,traumatique
47,normal
48,post-operatoire
49,traumatique
50,normal
51,normal
52,autre
53,traumatique
54,traumatique
55,normal
56,traumatique
57,traumatique
58,normal
59,autre
60,vasculaire
61,normal
62,vasculaire
63,traumatique
64,vasculaire
65,post-operatoire
66,post-operatoire
67,tumoral
68,traumatique
69,normal
70,post-operatoire
71,traumatique
72,normal
73,traumatique
74,traumatique
75,tumoral
76,tumoral
77,normal
78,vasculaire
79,vasculaire
80,vasculaire
81,vasculaire
82,post-operatoire
83,normal
84,post-operatoire
85,traumatique
86,normal
87,post-operatoire
88,normal
89,normal
90,vasculaire
91,normal
92,traumatique
93,vasculaire
94,normal
95,traumatique
96,vasculaire
97,autre
98,autre
99,vasculaire
100,traumatique
101,traumatique
102,normal
103,traumatique
104,post-operatoire
105,traumatique
106,traumatique
107,vasculaire
108,normal
109,vasculaire
110,post-operatoire
111,normal
112,post-operatoire
113,normal
114,normal
115,normal
116,traumatique
117,vasculaire
118,traumatique
119,normal
120,normal
121,autre
122,vasculaire
123,traumatique
124,traumatique
125,traumatique
126,autre
127,normal
128,normal
129,normal
130,tumoral
131,vasculaire
132,vasculaire
133,normal
134,traumatique
135,traumatique
136,normal
137,traumatique
138,traumatique
139,normal
140,normal
141,normal
142,traumatique
143,vasculaire
144,normal
145,normal
146,normal
147,traumatique
148,tumoral
149,vasculaire
150,post-operatoire
151,vasculaire
152,traumatique
153,tumoral
154,vasculaire
155,post-operatoire
156,normal
157,normal
158,vasculaire
159,tumoral
160,traumatique
161,normal
162,traumatique
163,post-operatoire
164,vasculaire
165,traumatique
166,vasculaire
167,post-operatoire
168,vasculaire
169,traumatique
170,autre
171,vasculaire
172,vasculaire
173,vasculaire
174,normal
175,normal
176,tumoral
177,normal
178,normal
179,traumatique
180,traumatique
181,post-operatoire
182,traumatique
183,vasculaire
184,vasculaire
185,autre
186,traumatique
187,vasculaire
188,traumatique
189,vasculaire
190,traumatique
191,post-operatoire
192,vasculaire
193,traumatique
194,vasculaire
195,traumatique
196,normal
197,normal
198,vasculaire
199,normal
200,vasculaire
201,vasculaire
202,vasculaire
203,vasculaire
204,traumatique
205,normal
206,normal
207,vasculaire
208,traumatique
209,normal
210,normal
211,post-operatoire
212,post-operatoire
213,normal
214,normal
215,traumatique
216,normal
217,traumatique
218,traumatique
219,normal
220,traumatique
221,traumatique
222,traumatique
223,traumatique
224,traumatique
225,vasculaire
226,vasculaire
227,traumatique
228,normal
229,traumatique
230,vasculaire
231,traumatique
232,autre
233,vasculaire
234,normal
235,normal
236,traumatique
237,normal
238,normal
239,vasculaire
240,vasculaire
241,traumatique
242,traumatique
243,normal
244,vasculaire
245,normal
246,post-operatoire
247,vasculaire
248,vasculaire
249,post-operatoire
250,normal
251,traumatique
252,normal
253,autre
254,tumoral
255,post-operatoire
256,tumoral
257,vasculaire
258,vasculaire
259,post-operatoire
260,normal
261,vasculaire
262,vasculaire
263,vasculaire
264,vasculaire
265,traumatique
266,normal
267,autre
268,vasculaire
269,traumatique
270,traumatique
271,vasculaire
272,post-operatoire
273,traumatique
274,tumoral
275,normal
276,normal
277,vasculaire
278,vasculaire
279,vasculaire
280,traumatique
281,vasculaire
282,normal
283,post-operatoire
284,post-operatoire
285,normal
286,vasculaire
287,traumatique
288,tumoral
289,traumatique
290,normal
291,autre
292,vasculaire
293,vasculaire
294,normal
295,tumoral
296,vasculaire
297,normal
298,vasculaire
299,vasculaire
300,vasculaire
301,traumatique
302,vasculaire
303,vasculaire
304,normal
305,autre
306,traumatique
307,vasculaire
308,traumatique
309,vasculaire
310,traumatique
311,echec_technique
312,vasculaire
313,vasculaire
314,vasculaire
315,vasculaire
316,vasculaire
317,vasculaire
318,post-operatoire
319,vasculaire
320,tumoral
321,post-operatoire
322,vasculaire
323,traumatique
324,normal
325,traumatique
326,vasculaire
327,vasculaire
328,vasculaire
329,vasculaire
330,normal
331,traumatique
332,traumatique
333,vasculaire
334,post-operatoire
335,vasculaire
336,normal
337,normal
338,post-operatoire
339,vasculaire
340,traumatique
341,vasculaire
342,normal
343,vasculaire
344,vasculaire
345,normal
346,vasculaire
347,vasculaire
348,normal
349,traumatique
350,autre
351,autre
352,autre
353,normal
354,vasculaire
355,vasculaire
356,normal
357,post-operatoire
358,vasculaire
359,normal
360,vasculaire
361,tumoral
362,traumatique
363,normal
364,post-operatoire
365,normal
366,vasculaire
367,normal
368,traumatique
369,post-operatoire
370,traumatique
371,normal
372,normal
373,post-operatoire
374,traumatique
375,traumatique
376,vasculaire
377,normal
378,post-operatoire
379,normal
380,vasculaire
381,vasculaire
382,vasculaire
383,normal
384,traumatique
385,post-operatoire
386,normal
387,vasculaire
388,normal
389,vasculaire
390,traumatique
391,tumoral
392,normal
393,normal
394,traumatique
395,normal
396,normal
397,post-operatoire
398,normal
399,vasculaire
